rating,date,content
5,2019년 4월 25일,많은 사람들이 좋아했습니다.
5,2019년 4월 24일,나 여기사극에서 봣는데?
5,2019년 4월 15일,공원이 아니라 조선의 정치가 이루어졌던 곳임을 생각하고 보면 더 의미있음.
5,2019년 4월 14일,친구모임
4,2019년 4월 12일,봄꽃의 경복궁
4,2019년 4월 7일,친구들모임
5,2019년 4월 5일,경복궁
5,2019년 4월 1일,행사있는 날 가면 좋아요.
5,2019년 3월 25일,가족여행으로 다녀왔어요q
5,2019년 3월 24일,외국인친구오면 꼭가요
5,2019년 3월 24일,관광하기 좋은 곳
4,2019년 3월 20일,관광객들의 머스트 방문 장소
5,2019년 3월 12일,한국인이라면 꼭 가봐야할 곳!
5,2019년 2월 27일,사색에 잠기기좋아요
5,2019년 2월 8일,한국의 전통을 볼 수 있는 곳
5,2019년 2월 7일,조선의 정궁
5,2019년 2월 4일,고즈넉한 우리의 궁
5,2019년 2월 1일,경복궁 너무 멋집니다
5,2019년 1월 19일,대한민국 대표 랜드마크
5,2019년 1월 15일,다 돌아보려면 체력+시간 여유 필수
5,2019년 1월 11일,세계 최고의 궁전!
5,2018년 12월 31일,봄과 가을에 방문을 추천드립니다.
5,2018년 12월 28일,대한민국의 역사와 전통이 깃든 곳
5,2018년 12월 26일,아름다운 경복궁
5,2018년 12월 8일,경복궁
5,2018년 11월 11일,경복궁
5,2018년 11월 2일,경복궁
5,2018년 11월 2일,경복궁 야간개장
4,2018년 10월 29일,가을에 아름다운 경복궁
5,2018년 10월 28일,"조선의 법궁, 경복궁"
5,2018년 10월 21일,지금 방문하세요
5,2018년 10월 19일,서울에서 가장 먼저 가야할 곳
5,2018년 10월 18일,경복궁은 매번가도좋아요
5,2018년 10월 16일,ㅎㅎㅎㅎㅎㅎ
5,2018년 10월 13일,야간개장 추천이요
5,2018년 10월 12일,한복체험
5,2018년 10월 12일,고궁
4,2018년 10월 11일,조선시대 대표 궁궐 - 경복궁
5,2018년 10월 4일,한복입고 가면 무료
2,2018년 10월 4일,한국의 대표 궁
5,2018년 10월 3일,가을 경치에... 정말좋습니다
5,2018년 9월 17일,오랜만에 들렸던 경복궁
5,2018년 9월 14일,서울에서 꼭 방문해야할 곳
5,2018년 9월 15일,좋아요
5,2018년 9월 13일,남성미가 넘치는 유서깊은 궁궐
5,2018년 9월 10일,오랜만에 찾으니 더 좋았습니다.
3,2018년 9월 5일,가족과 같이 놀러갔어요
4,2018년 8월 17일,데이트 코스
