date,rating,review
9개월 전,별표 5개,역사문화대장정 인증으로 방문 아들 초등학교때 체험학습 함께하고 오랫만에 방문 비가오는 고즈넉한 궁궐도 정말 멋지고 언제와도 대한민국의 자부심이 느껴집니다.
8개월 전,별표 5개,가을 경복궁은 환상적이다. 외국인들이 바글바글하여 한적한 고궁을 누릴 수는 없다. 근정전만 보고 사진 찍고 나가는 사람도 많지만 곳곳을 구경하는 이국인들도 많다. 모처럼 맑은 가을날의 경복궁을 추천한다
4개월 전,별표 5개,역사적인 궁전입니다. 서울에서 상징적이며 산책하기 좋습니다. 한복을 입으면 입장이 공자라는 말이 있는데 그래서 외국인들이 빌려 입고 입장 하고 사진 찍나봅니다.
8개월 전,별표 5개,"가을의 경복궁은 참으로 아름다운 경험을 선사했습니다. 비록 많은 사람들이 있었지만, 북한산의 웅장함과 어우러진 궁궐의 모습은 감탄을 자아냈습니다. 화려한 단풍과 노랗게 물든 은행나무 길을 걷는 시간은 잊지 못할 추억이 되었습니다. 곳곳에서 마주치는 고풍스러운 한옥과 다채로운 단청은 시선을 붙잡기에 충분했습니다. 이러한 아름다운 풍경 속을 거닐었던 경험은 정말 특별했습니다. 경복궁의 가을 정취는 방문객들에게 깊은 인상을 남깁니다. 이곳에서의 산책은 분명 즐거운 시간이 될 것입니다. 그래서 여러분께도 이 멋진 경험을 적극적으로 추천해 드리고 싶습니다.  Gyeongbokgung Palace in autumn truly offered a beautiful experience. Although there were many people, the appearance of the palace, harmonized with the grandeur of Bukhansan Mountain, was admirable. The time spent walking along the path of the colorful autumn foliage and the yellow ginkgo trees became an unforgettable memory. The antique hanoks and colorful dancheong encountered everywhere were enough to capture attention. The experience of walking through such beautiful scenery was truly special. The autumn scenery of Gyeongbokgung Palace leaves a lasting impression on visitors. A walk here will surely be a pleasant time. Therefore, I would like to actively recommend this wonderful experience to you as well."
8개월 전,별표 5개,코리아페스테벌기간에 방문이라 무료로 입장했어요. 외국인분들도 많고 한복입은분들도 많고 궁안이 북적였습니다. 오랜만에 둘러본 경회루와 연못이너무 아름다웠어요~
7개월 전,별표 5개,"조선의 수도인 서울의 왕궁 수없는 침략과 파괴로 인해 수많은 건물들이 사라졌지만, 조금씩 복원하는 중이다. 견학이 끝나면 꼭 왕실 박물관도 들러서 궁궐의 유물도 관람하고 가세요"
7개월 전,별표 5개,"3월 초, 겨울의 찬 공기와 봄 햇살이 동시에 느껴지는 날에 서울 도심 한복판 경복궁을 다녀왔다. 광화문 앞 돌담길부터 분위기가 확 달라지는데, 출입문을 지나 넓게 트인 마당과 전각들이 한눈에 들어오면 바쁜 일상에서 잠시 분리된 느낌이 든다. 평일 오전이라 관람객이 많지 않아, 한적하게 궁궐을 즐기기 좋았다.  가장 먼저 들른 곳은 조선의 정궁을 상징하는 근정전. 국왕이 공식 업무와 조회를 보던 공간답게, 기단 위에 서 있는 건물의 위엄이 압도적이다. 섬세한 단청과 곧게 뻗은 기둥, 지붕의 선들이 3월의 부드러운 햇살을 받아 한층 더 또렷하게 살아난다. 이어서 사정전, 강녕전, 만춘전, 흥복전 등 왕과 왕비의 생활 집무 공간을 찬찬히 둘러보며 한옥 구조의 미세한 비율과 마당 배치를 직접 느낄 수 있었다.  경복궁에서 빼놓을 수 없는 하이라이트는 역시 경회루와 향원정이다. 연못 위에 떠 있는 듯한 경회루와 그 뒤로 펼쳐진 북악산, 주변 소나무 숲이 만들어내는 풍경은  한국적인 아름다움 을 한 프레임에 담은 느낌이다. 3월 초라 연못이 아직 차가운 공기를 머금고 있었지만, 곧 물가에 초록과 벚꽃이 번질 계절을 상상하는 것만으로도 기분이 좋아졌다. 향원정 일대는 상대적으로 더 아늑한 분위기라, 잠시 걸음을 늦추고 풍경을 감상하기 좋았다.  전체 관람 시간은 약 1시간 30분 정도. 광화문에서 시작해 근정전 사정전 생활 전각들 경회루 향원정 순으로 동선을 잡으면 크게 돌아보기에 무리가 없다. 계절마다 다른 얼굴을 보여주는 곳이지만, 3월 초의 경복궁은 사람에 치이지 않으면서도 봄의 기운을 가장 먼저 느낄 수 있는 시기라 특히 추천할 만하다. 다음에는 한복을 대여해 더 분위기 있게 걸어보고 싶다는 생각이 들 정도로,  서울 도심에서 보내는 반나절 산책 코스 로 손색이 없다."
수정일: 6개월 전,별표 5개,"가을 경복궁 나들이. 코리아 그랜드 페스티벌 마지막날 방문해 운 좋게 무료로 입장할 수 있었다 경복궁에는 여러번 가봤지만 향원정을 보는 건 오늘이 처음이었는데, 너무 아름다운 풍경에 한참을 서있었다. 만개한 가을 단풍을 배경으로 연못 위 자리 잡은 정자를 바라보고 있자니 절로 마음이 평화로워지는 걸 느꼈다.  경복궁에 가게 된다면 광화문부터 차례대로 둘러보는 것도 좋지만 경복궁 담벼락을 따라 북쪽으로 쭉 걷다가 뒷문으로 들어가는 코스도 추천하고 싶다. 정문에 비해 사람이 붐비지 않고, 문을 들어서면 곧바로 향원정 연못을 마주할 수 있다.  비록 명성황후가 시해당했던 슬픈 역사가 깃든 곳이지만.. 오랜 시간 변함 없이 그 자리를 지켜온 연못 앞에서 잠시나마 여유를 느껴보길"
10개월 전,별표 5개,경복궁 야간 개장으로 서울 도심속 궁궐의 풍광과 왕가의 산책의 행렬까지 볼수있는 기회~  서울의 숨은 야경의 매력속으로....
3개월 전,별표 5개,이렇게 멋지고 예쁘고 웅장한줄 알았으면 진작올껄 경치너무좋아서 경회루에서만 3시간정도 머무름
